league,team,name_player,role,win,loses,kill,death,assist,kda,cs,csm,TotalGold,gold_per_m,goldshare,killp,kshare
LPL,LNG Esports,Iwandy,Support,10,12,0.45,2.41,7.82,3.43,35.5,1.12,7200.0,227,0.128,0.703,0.039
LPL,Suning,ON,Support,11,10,0.67,2.9,7.1,2.67,35.76,1.09,7400.0,225,0.125,0.5820000000000001,0.05
LPL,FunPlus Phoenix,Doinb,Mid,17,6,2.96,2.17,7.61,4.86,258.61,8.68,12500.0,419,0.215,0.659,0.184
LPL,EDward Gaming,Scout,Mid,18,4,3.68,1.86,6.36,5.39,292.27,8.83,13600.0,412,0.21899999999999997,0.662,0.243
LPL,Team WE,Shanks,Mid,16,6,2.95,2,7.27,5.11,261.91,8.67,12300.0,408,0.215,0.664,0.192
LPL,Top Esports,Zhuo,Support,13,6,0.63,2.21,10.16,4.88,41.68,1.43,7300.0,248,0.128,0.647,0.038
LPL,Bilibili Gaming,Mark,Support,8,9,0.41,3.18,8.06,2.67,39.88,1.19,7700.0,232,0.128,0.6609999999999999,0.032
LPL,Invictus Gaming,Baolan,Support,7,6,0.92,3.46,8.62,2.76,35.15,1.21,7000.0,240,0.13,0.614,0.059000000000000004
LPL,Rare Atom,FoFo,Mid,14,8,3,1.55,6.27,6,301.95,9.03,13700.0,410,0.222,0.696,0.225
LPL,LNG Esports,icon,Mid,10,12,3.05,2.32,5.77,3.8,275.27,8.65,12400.0,389,0.22,0.7490000000000001,0.259
LPL,Invictus Gaming,Lucas,Support,7,4,0.55,2.55,8.82,3.68,34.64,1.13,7200.0,235,0.128,0.648,0.038
LPL,Rogue Warriors,QiuQiu,Support,2,8,0.8,5.3,6.5,1.38,37.9,1.19,7000.0,220,0.132,0.6579999999999999,0.07200000000000001
LPL,JD Gaming,Yagao,Mid,14,7,3.29,1.95,5.95,4.73,268.81,8.48,12900.0,406,0.21899999999999997,0.62,0.22
LPL,Suning,Angel,Mid,11,10,2.76,1.62,6,5.41,291.86,8.93,13000.0,399,0.221,0.657,0.207
LPL,Top Esports,knight,Mid,13,6,4.21,1.47,6.47,7.25,262.74,8.99,12500.0,429,0.222,0.64,0.252
LPL,LGD Gaming,Chance,Support,3,6,0.22,3.89,5.67,1.51,40.11,1.29,7000.0,225,0.13,0.624,0.024
LPL,LGD Gaming,Peace,Support,2,7,0.78,2.33,5.22,2.57,33.22,1.09,6900.0,227,0.135,0.75,0.09699999999999999
LPL,Bilibili Gaming,Jwei,Support,3,5,0.75,5.13,5.13,1.15,32.13,1.03,6800.0,218,0.126,0.5529999999999999,0.071
