league,team,name_player,role,win,loses,kill,death,assist,kda,cs,csm,TotalGold,gold_per_m,goldshare,killp,kshare
LCK,T1,Gumayusi,Bot,10,11,4.48,1.9,3.62,4.25,330.86,10.34,14700.0,458,0.256,0.711,0.39299999999999996
LCK,T1,Teddy,Bot,7,5,3.83,2.5,6,3.93,309.92,9.26,14800.0,442,0.24,0.682,0.266
LEC,Rogue (European Team),Inspired,Jungle,11,2,3.15,1.54,7.23,6.75,218.38,6.4,12100.0,354,0.187,0.637,0.193
LCK,Nongshim RedForce,Rich,Top,11,19,1.93,3.1,4.57,2.1,229.13,7.19,11100.0,347,0.203,0.593,0.17600000000000002
LCK,DWG KIA,Khan,Top,22,7,2,2.41,7.1,3.77,258.83,7.58,13000.0,382,0.20199999999999999,0.61,0.134
LCK,Afreeca Freecs,Kiin,Top,13,16,2.1,2.76,5.03,2.59,277.55,8.15,12900.0,380,0.215,0.593,0.175
LCK,Liiv SANDBOX,Route,Bot,3,8,2.91,2.36,3.91,2.88,295.36,8.98,13100.0,399,0.23,0.605,0.258
LCK,Liiv SANDBOX,Leo,Bot,3,6,2.89,2.67,3.44,2.38,295.56,8.95,13500.0,409,0.23199999999999998,0.504,0.23
LCK,Liiv SANDBOX,Prince,Bot,0,6,1.83,3,3.83,1.89,287,8.94,12300.0,383,0.22899999999999998,0.654,0.212
LEC,G2 Esports,Jankos,Jungle,11,2,5.38,2.23,6.54,5.34,227.62,6.58,13400.0,387,0.19899999999999998,0.615,0.278
LEC,MAD Lions,Elyoya,Jungle,8,5,4.31,2.31,6.38,4.63,203,6.43,11900.0,377,0.205,0.735,0.29600000000000004
LEC,SK Gaming,TynX,Jungle,8,5,2.62,1.77,6.92,5.39,206.77,6.41,11600.0,358,0.2,0.705,0.193
LCK,Fredit BRION,Hoya,Top,10,17,1.11,2.44,4.33,2.23,244.52,7.3,11100.0,331,0.19399999999999998,0.563,0.115
LCK,Liiv SANDBOX,Summit,Top,6,20,2.58,3.04,4.54,2.34,262.92,8.03,12300.0,377,0.218,0.64,0.23199999999999998
LCK,Hanwha Life Esports,Morgan,Top,17,6,2.26,2.04,7.04,4.55,248.52,7.69,12300.0,379,0.2,0.56,0.136
LEC,Fnatic,Selfmade,Jungle,7,6,4.15,2.92,6.46,3.63,200.69,6.68,11400.0,380,0.205,0.627,0.245
LEC,Excel Esports,Dan,Jungle,5,8,2.08,2.77,4.38,2.33,193.62,5.78,10800.0,321,0.191,0.672,0.21600000000000003
LEC,FC Schalke 04 Esports,Gilius,Jungle,5,8,1.23,3.08,5.62,2.23,194.62,5.66,10800.0,314,0.18,0.679,0.122
LCK,T1,Zeus,Top,10,7,2.24,2.65,5.29,2.84,234.82,7.58,11500.0,370,0.204,0.601,0.17800000000000002
LCK,T1,Canna,Top,7,9,2.38,3.06,4.56,2.27,280.44,8.21,13200.0,388,0.215,0.5579999999999999,0.191
LCK,Hanwha Life Esports,DuDu,Top,1,7,2.75,2.5,2.88,2.25,256.88,8.38,11900.0,387,0.226,0.556,0.272
LEC,Misfits Gaming,Razork,Jungle,5,8,4.08,3.23,5.62,3,208.54,6.39,12000.0,367,0.204,0.708,0.298
LEC,Astralis,Zanzarah,Jungle,3,10,1.69,3.54,5.08,1.91,175.62,5.27,10100.0,305,0.184,0.633,0.158
LEC,Team Vitality,Skeanz,Jungle,2,11,2.77,1.85,3.77,3.54,209.08,5.83,11600.0,324,0.193,0.7140000000000001,0.303
LCK,DRX,SOLKA,Mid,17,16,1.7,1.79,5.97,4.29,292.91,8.65,12700.0,374,0.21,0.684,0.151
LCK,Hanwha Life Esports,Chovy,Mid,18,13,3.81,1.9,6.45,5.39,319.06,10.01,14500.0,454,0.24600000000000002,0.687,0.255
LCK,Nongshim RedForce,Bay,Mid,11,19,1.37,2.57,5.4,2.64,259.83,8.15,11400.0,358,0.209,0.617,0.125
LCK,DWG KIA,ShowMaker,Mid,22,7,3.62,1.86,6.59,5.48,310.07,9.08,14400.0,423,0.22399999999999998,0.684,0.242
LCK,Afreeca Freecs,Fly,Mid,13,16,2,2.45,5.86,3.21,281.79,8.28,12800.0,375,0.212,0.653,0.166
LCK,Gen.G,Bdd,Mid,20,7,3.07,1.63,5.67,5.36,288,8.95,13000.0,405,0.215,0.618,0.217
LCK,Liiv SANDBOX,FATE,Mid,6,20,2.92,1.96,5.54,4.31,295.85,9.03,13100.0,401,0.23199999999999998,0.7609999999999999,0.263
LCK,KT Rolster,Ucal,Mid,10,14,3.08,2.29,5.58,3.78,331.92,9.42,14500.0,410,0.23,0.66,0.235
LCK,Fredit BRION,Lava,Mid,8,15,1.87,2.13,5.78,3.59,295.48,8.66,13000.0,380,0.222,0.7859999999999999,0.192
LCK,T1,Clozer,Mid,10,9,2.58,2.58,5.32,3.06,303.21,9.15,13500.0,406,0.221,0.602,0.19699999999999998
LCK,T1,Faker,Mid,7,7,2.5,1.79,5.29,4.36,261.79,8.26,12200.0,384,0.217,0.669,0.215
LEC,G2 Esports,Caps,Mid,11,2,4.08,1.92,7.69,6.12,306.62,8.86,15000.0,435,0.22399999999999998,0.607,0.21
LEC,Rogue (European Team),Larssen,Mid,11,2,4.38,1,6.77,11.15,327.62,9.59,15500.0,452,0.239,0.684,0.26899999999999996
LCK,KT Rolster,Dove,Mid,4,2,2.5,2,4.33,3.42,314.5,9.21,13800.0,405,0.22,0.6509999999999999,0.23800000000000002
LCK,Gen.G,Karis,Mid,1,2,0.67,2,2.67,1.67,288.33,8.66,11800.0,356,0.20199999999999999,0.455,0.091
LCK,Fredit BRION,Yaharong,Mid,2,0,5,0.5,7.5,25,305,8.8,14300.0,411,0.221,0.735,0.294
LEC,SK Gaming,Blue,Mid,8,5,2.31,2.08,6.46,4.22,304.08,9.42,13500.0,418,0.23399999999999999,0.648,0.17
LEC,MAD Lions,Humanoid,Mid,8,5,2.54,3.54,6.92,2.67,291.08,9.22,13300.0,420,0.228,0.6509999999999999,0.175
LCK,Fredit BRION,Chieftain,Mid,0,2,0.5,4,0.5,0.25,194,7.76,7900.0,316,0.225,0.667,0.33299999999999996
LCS,Cloud9,Fudge,Top,10,2,2.75,1.58,7.17,6.26,218.25,7.24,11400.0,379,0.196,0.551,0.153
LCS,TSM,Huni,Top,8,4,1.92,2.25,6.33,3.67,262.42,7.66,13200.0,385,0.21,0.6779999999999999,0.158
LEC,Fnatic,Nisqy,Mid,7,6,2.77,3,7.62,3.46,242.08,8.05,11700.0,391,0.21,0.614,0.16399999999999998
LEC,FC Schalke 04 Esports,Abbedagge,Mid,5,8,2.62,2.46,4.38,2.84,314.54,9.14,14000.0,407,0.23199999999999998,0.695,0.26
LEC,Excel Esports,Czekolad,Mid,5,8,1.69,3.23,4.62,1.95,289.23,8.63,12700.0,380,0.226,0.6559999999999999,0.17600000000000002
LCS,100 Thieves,Ssumday,Top,8,4,2.25,3.33,5.33,2.28,305.92,8.19,14400.0,387,0.215,0.562,0.16699999999999998
LCS,Team Liquid,Alphari,Top,7,5,3.25,1.5,5.58,5.89,255.92,8.24,12800.0,412,0.22399999999999998,0.6709999999999999,0.247
LCS,Dignitas,FakeGod,Top,7,5,2.25,2.58,5.92,3.16,231.75,7.39,11800.0,375,0.20800000000000002,0.5760000000000001,0.159
LEC,Misfits Gaming,Vetheo,Mid,5,8,3,2.54,4.62,3,298.23,9.14,13200.0,403,0.22399999999999998,0.556,0.21899999999999997
LEC,Team Vitality,Milica,Mid,2,11,1.77,1.77,4,3.26,301.31,8.41,13300.0,371,0.222,0.63,0.193
LEC,Astralis,nukeduck,Mid,1,6,2.14,3.43,4.43,1.92,291,8.18,13000.0,365,0.226,0.708,0.231
LCS,Cloud9,Vulcan,Support,10,2,0.75,3.33,10.67,3.43,31,1.03,7400.0,246,0.127,0.634,0.042
LCS,100 Thieves,huhi,Support,8,4,1.17,3.42,9.17,3.02,97.5,2.61,9800.0,261,0.145,0.765,0.086
LCS,Evil Geniuses.NA,Impact,Top,7,5,3.17,3.42,7.5,3.12,244.42,6.93,12800.0,363,0.205,0.6990000000000001,0.20800000000000002
LCS,Immortals,Revenge,Top,5,7,1.75,2.58,5.17,2.68,258.83,7.74,12200.0,366,0.213,0.638,0.162
LEC,Astralis,MagiFelix,Mid,2,4,3,2.33,3.67,2.86,288.33,9.41,12500.0,407,0.239,0.541,0.243
LCS,TSM,SwordArt,Support,8,4,0.42,3.08,7.83,2.68,41.83,1.22,8200.0,238,0.13,0.6779999999999999,0.034
LCS,Dignitas,aphromoo,Support,7,5,1.08,1.92,9.67,5.61,42.58,1.36,7700.0,246,0.13699999999999998,0.759,0.076
LCS,FlyQuest,Licorice,Top,4,8,2.67,3.08,3.58,2.03,262,7.78,12200.0,364,0.213,0.524,0.22399999999999998
LCS,Counter Logic Gaming,Finn,Top,2,10,2.33,2.67,5.25,2.84,266.08,7.24,13000.0,355,0.209,0.645,0.19899999999999998
LCS,Golden Guardians,Niles,Top,2,10,0.67,4.92,3.92,0.93,235.67,6.81,11500.0,332,0.20199999999999999,0.6709999999999999,0.098
LCS,Team Liquid,CoreJJ,Support,7,5,0.75,2.17,8.33,4.19,52.58,1.69,7800.0,250,0.136,0.69,0.057
LCS,Evil Geniuses.NA,IgNar,Support,7,5,0.67,2.92,8.5,3.14,50.42,1.43,8200.0,233,0.132,0.601,0.044000000000000004
LCS,Immortals,Destiny,Support,5,7,0.42,2.42,6.83,3,67.92,2.03,7700.0,231,0.134,0.669,0.038
LCS,FlyQuest,Diamond,Support,4,8,0.92,3,5.5,2.14,64.58,1.92,7800.0,233,0.136,0.5379999999999999,0.077
LCS,Golden Guardians,Newbie,Support,2,10,0.67,2.42,5,2.34,32.83,0.95,7600.0,218,0.133,0.8290000000000001,0.098
LCS,Counter Logic Gaming,Smoothie,Support,2,10,0.58,3.17,8.42,2.84,34.5,0.94,7800.0,212,0.125,0.7659999999999999,0.05
LCK,DRX,Pyosik,Jungle,17,16,2.48,2.3,5.24,3.36,247.21,7.3,12600.0,372,0.209,0.6890000000000001,0.222
LCK,Nongshim RedForce,Peanut,Jungle,11,19,2.7,2.53,5.23,3.13,215.87,6.77,11400.0,357,0.20800000000000002,0.723,0.24600000000000002
LCK,DWG KIA,Canyon,Jungle,22,7,3.34,2.52,6.79,4.03,238.45,6.98,13000.0,380,0.20199999999999999,0.679,0.22399999999999998
LCK,Afreeca Freecs,Dread,Jungle,13,16,3.79,2.31,4.76,3.7,226.72,6.66,12400.0,365,0.207,0.711,0.315
LCK,Hanwha Life Esports,Arthur,Jungle,14,13,3.41,2.78,6.41,3.53,184.48,5.81,10900.0,342,0.18600000000000003,0.664,0.231
LCK,Fredit BRION,UmTi,Jungle,10,16,2.38,2.19,5.19,3.46,215,6.45,11200.0,337,0.19699999999999998,0.782,0.24600000000000002
LCK,Gen.G,Clid,Jungle,18,7,3.44,1.96,5.88,4.76,195.68,6.16,11600.0,364,0.192,0.675,0.249
LCK,Liiv SANDBOX,Croco,Jungle,6,16,2.5,2.77,5.41,2.85,191.77,5.91,10800.0,334,0.193,0.71,0.22399999999999998
LCK,T1,Ellim,Jungle,10,10,2,1.75,6,4.57,188.9,5.92,10500.0,329,0.182,0.672,0.168
LCK,KT Rolster,Blank,Jungle,9,8,2.59,2.41,6.88,3.93,208.24,5.8,11800.0,330,0.18,0.634,0.17300000000000001
LCK,T1,Oner,Jungle,5,4,3.33,2.67,6.22,3.58,221.44,6.93,12000.0,376,0.207,0.748,0.261
LCK,KT Rolster,GIDEON,Jungle,3,4,2,2.71,4.29,2.32,238.86,6.85,12100.0,347,0.19899999999999998,0.667,0.212
LCK,KT Rolster,Bonnie,Jungle,2,4,2.33,2.83,3.17,1.94,193.17,5.9,10800.0,331,0.191,0.569,0.24100000000000002
LCK,Gen.G,Flawless,Jungle,3,2,2.4,1.6,4.6,4.38,188,5.41,10900.0,314,0.177,0.593,0.203
LCK,Hanwha Life Esports,yoHan,Jungle,4,0,2,3,7.5,3.17,212.75,6.54,11600.0,358,0.18600000000000003,0.594,0.125
LCK,T1,Cuzz,Jungle,2,2,3,3,6.25,3.08,209.5,5.67,12300.0,333,0.185,0.627,0.203
LCK,Liiv SANDBOX,OnFleek,Jungle,0,4,1.75,3.25,4.5,1.92,219.25,6.38,11500.0,334,0.195,0.568,0.159
LCK,Fredit BRION,Chieftain,Jungle,0,1,3,4,6,2.25,250,6.6,12900.0,339,0.201,1.0,0.33299999999999996
LCS,Cloud9,Perkz,Mid,10,2,5.17,2.25,6.58,5.22,272.92,9.06,13600.0,452,0.233,0.653,0.287
LCS,100 Thieves,Damonte,Mid,8,4,1.92,3,7.92,3.28,301.75,8.08,14100.0,376,0.209,0.728,0.142
LCS,TSM,PowerOfEvil,Mid,8,4,3.5,2.33,3.5,3,333.08,9.72,14700.0,429,0.233,0.575,0.28800000000000003
LCS,Team Liquid,Jensen,Mid,7,5,2.42,1.75,6.58,5.14,275.33,8.86,12300.0,395,0.215,0.684,0.184
LCS,Evil Geniuses.NA,Jiizuke,Mid,7,5,4.08,2.92,6.25,3.54,315.17,8.94,14700.0,418,0.237,0.6779999999999999,0.268
LCS,Dignitas,Soligo,Mid,7,5,3.17,2.08,6.58,4.68,261.92,8.35,12400.0,395,0.21899999999999997,0.688,0.22399999999999998
