league,mh
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1830660?gameHash=d7ab5e0c402c72bd
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1830657?gameHash=201f41cf1148507a
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1820616?gameHash=32939638d1b9d8b6
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1830623?gameHash=6afa1727bcc42a84
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1830615?gameHash=9943a10219cd5842
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1830515?gameHash=4437356931f61172
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1820447?gameHash=d4b17a93ee5ba8e0
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1820441?gameHash=37445f92f7361cb3
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1830462?gameHash=6de0aba495c2591b
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT05/1820384?gameHash=78c0f0df38878c22
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1490787?gameHash=89ef130529c91899
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480845?gameHash=ad5265cb99a9707c
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1490767?gameHash=3611faf1bd92a1ba
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1490753?gameHash=3ff0d773e20b8125
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480816?gameHash=47f728a91e64cbf7
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480772?gameHash=cb1c175a8c394b34
