champ_name,role,games,win,loses,kill,death,assist,cs,csm,TotalGold,gold_per_m,goldshare,killp,kshare
Sylas,Mid,2,0,2,1.5,2,2,256,8.71,10500.0,356,0.23,0.5379999999999999,0.231
Akali,Mid,1,1,0,4,3,6,258,6.97,13100.0,354,0.177,0.35700000000000004,0.14300000000000002
Galio,Mid,1,0,1,1,6,7,185,6.65,8100.0,292,0.185,0.8,0.1
Irelia,Mid,1,0,1,7,6,6,286,7.98,15000.0,418,0.22699999999999998,0.619,0.33299999999999996
Rell,Support,24,18,6,0.67,3.29,10.25,34.13,1.06,7800.0,244,0.128,0.649,0.04
Leona,Support,18,7,11,0.78,4.11,8.17,39.61,1.21,7500.0,227,0.13,0.6709999999999999,0.057999999999999996
Thresh,Support,12,6,6,0.92,2.83,6.92,38.83,1.14,7600.0,224,0.131,0.7290000000000001,0.085
Rakan,Support,9,5,4,0.78,3.44,11.22,39.22,1.19,7800.0,236,0.129,0.7709999999999999,0.05
Jayce,Mid,1,0,1,0,1,3,461,9.55,19800.0,411,0.22699999999999998,0.429,0.0
Yone,Mid,1,0,1,1,2,3,283,9.57,11000.0,373,0.235,0.8,0.2
Nautilus,Support,6,3,3,1,3.67,6.33,37.33,1.05,8100.0,228,0.126,0.647,0.08800000000000001
Galio,Support,6,2,4,1.17,3.67,7,39.17,1.27,7100.0,230,0.132,0.754,0.10800000000000001
Tahm Kench,Support,5,3,2,0.8,2.6,9.6,183.4,5.18,10400.0,293,0.165,0.7879999999999999,0.061
Seraphine,Support,4,2,2,0.5,3,6.75,22.75,0.66,7900.0,230,0.131,0.674,0.047
Gragas,Support,4,1,3,1.25,4,6,87,2.21,9400.0,238,0.138,0.5920000000000001,0.102
Jarvan IV,Support,3,2,1,0.67,6,12.67,23.67,0.72,8100.0,248,0.136,0.909,0.045
Kai'Sa,Bot,39,18,21,4.74,2.41,4.51,306.18,9.42,14300.0,441,0.245,0.7090000000000001,0.363
Sett,Support,3,2,1,0,4.33,5,39,1.26,7000.0,225,0.125,0.556,0.0
Braum,Support,3,1,2,1,4.33,12.67,40,1.14,8200.0,234,0.136,0.9109999999999999,0.067
Blitzcrank,Support,2,2,0,1,3.5,9.5,29.5,0.87,8000.0,235,0.121,0.6,0.057
Karma,Support,1,1,0,2,1,8,25,0.84,8300.0,279,0.139,0.7140000000000001,0.14300000000000002
Xayah,Bot,15,9,6,4.4,2.4,5.8,313.13,9.63,14800.0,455,0.251,0.7020000000000001,0.303
Jhin,Bot,13,10,3,4.77,1.23,6.62,341.54,9.5,15800.0,440,0.237,0.682,0.28600000000000003
Samira,Bot,10,4,6,5.1,2.9,4.9,244.6,8.12,12600.0,420,0.237,0.667,0.34
